Seed : 89
Episode 1	Average Score: 0.31
Episode 2	Average Score: 0.24
Episode 3	Average Score: 0.63
Episode 4	Average Score: 0.91
Episode 5	Average Score: 0.92
Episode 6	Average Score: 1.07
Episode 7	Average Score: 1.26
Episode 8	Average Score: 1.71
Episode 9	Average Score: 1.98
Episode 10	Average Score: 2.31
Episode 11	Average Score: 2.99
Episode 12	Average Score: 3.15
Episode 13	Average Score: 2.38
Episode 14	Average Score: 3.51
Episode 15	Average Score: 3.02
Episode 16	Average Score: 2.76
Episode 17	Average Score: 2.58
Episode 18	Average Score: 3.49
Episode 19	Average Score: 4.34
Episode 20	Average Score: 2.94
Episode 21	Average Score: 4.80
Episode 22	Average Score: 4.50
Episode 23	Average Score: 5.71
Episode 24	Average Score: 4.90
Episode 25	Average Score: 4.81
Episode 26	Average Score: 5.05
Episode 27	Average Score: 5.40
Episode 28	Average Score: 5.55
Episode 29	Average Score: 5.73
Episode 30	Average Score: 4.64
Episode 31	Average Score: 5.66
Episode 32	Average Score: 7.42
Episode 33	Average Score: 7.13
Episode 34	Average Score: 6.59
Episode 35	Average Score: 7.46
Episode 36	Average Score: 5.02
Episode 37	Average Score: 6.69
Episode 38	Average Score: 7.32
Episode 39	Average Score: 5.38
Episode 40	Average Score: 5.79
Episode 41	Average Score: 5.39
Episode 42	Average Score: 7.67
Episode 43	Average Score: 9.25
Episode 44	Average Score: 7.32
Episode 45	Average Score: 7.67
Episode 46	Average Score: 6.25
Episode 47	Average Score: 6.11
Episode 48	Average Score: 6.55
Episode 49	Average Score: 6.80
Episode 50	Average Score: 7.62
Episode 51	Average Score: 6.55
Episode 52	Average Score: 8.04
Episode 53	Average Score: 6.61
Episode 54	Average Score: 7.81
Episode 55	Average Score: 7.61
Episode 56	Average Score: 7.39
Episode 57	Average Score: 5.68
Episode 58	Average Score: 6.58
Episode 59	Average Score: 6.17
Episode 60	Average Score: 7.28
Episode 61	Average Score: 7.98
Episode 62	Average Score: 6.96
Episode 63	Average Score: 6.75
Episode 64	Average Score: 7.48
Episode 65	Average Score: 8.44
Episode 66	Average Score: 8.17
Episode 67	Average Score: 8.95
Episode 68	Average Score: 8.45
Episode 69	Average Score: 9.06
Episode 70	Average Score: 8.18
Episode 71	Average Score: 10.14
Episode 72	Average Score: 9.81
Episode 73	Average Score: 11.06
Episode 74	Average Score: 8.12
Episode 75	Average Score: 8.79
Episode 76	Average Score: 9.81
Episode 77	Average Score: 9.84
Episode 78	Average Score: 11.44
Episode 79	Average Score: 10.36
Episode 80	Average Score: 10.19
Episode 81	Average Score: 10.84
Episode 82	Average Score: 10.04
Episode 83	Average Score: 10.14
Episode 84	Average Score: 12.30
Episode 85	Average Score: 9.37
Episode 86	Average Score: 10.43
Episode 87	Average Score: 11.49
Episode 88	Average Score: 12.90
Episode 89	Average Score: 11.08
Episode 90	Average Score: 11.42
Episode 91	Average Score: 10.61
Episode 92	Average Score: 11.08
Episode 93	Average Score: 10.93
Episode 94	Average Score: 12.90
Episode 95	Average Score: 11.58
Episode 96	Average Score: 14.57
Episode 97	Average Score: 12.07
Episode 98	Average Score: 11.59
Episode 99	Average Score: 9.79
Episode 100	Average Score: 12.89
Episode 101	Average Score: 10.78
Episode 102	Average Score: 10.66
Episode 103	Average Score: 13.44
Episode 104	Average Score: 12.43
Episode 105	Average Score: 9.97
Episode 106	Average Score: 13.48
Episode 107	Average Score: 13.01
Episode 108	Average Score: 9.96
Episode 109	Average Score: 12.13
Episode 110	Average Score: 13.63
Episode 111	Average Score: 10.91
Episode 112	Average Score: 10.97
Episode 113	Average Score: 16.20
Episode 114	Average Score: 11.55
Episode 115	Average Score: 12.58
Episode 116	Average Score: 15.66
Episode 117	Average Score: 13.37
Episode 118	Average Score: 13.13
Episode 119	Average Score: 12.93
Episode 120	Average Score: 13.09
Episode 121	Average Score: 12.91
Episode 122	Average Score: 12.11
Episode 123	Average Score: 15.07
Episode 124	Average Score: 13.94
Episode 125	Average Score: 17.72
Episode 126	Average Score: 15.66
Episode 127	Average Score: 13.62
Episode 128	Average Score: 13.94
Episode 129	Average Score: 13.90
Episode 130	Average Score: 14.63
Episode 131	Average Score: 13.28
Episode 132	Average Score: 15.01
Episode 133	Average Score: 13.57
Episode 134	Average Score: 13.19
Episode 135	Average Score: 14.26
Episode 136	Average Score: 16.02
Episode 137	Average Score: 15.54
Episode 138	Average Score: 13.75
Episode 139	Average Score: 16.74
Episode 140	Average Score: 16.32
Episode 141	Average Score: 16.60
Episode 142	Average Score: 16.96
Episode 143	Average Score: 18.41
Episode 144	Average Score: 19.10
Episode 145	Average Score: 17.62
Episode 146	Average Score: 20.24
Episode 147	Average Score: 16.34
Episode 148	Average Score: 19.39
Episode 149	Average Score: 20.54
Episode 150	Average Score: 20.96
Episode 151	Average Score: 20.13
Episode 152	Average Score: 18.76
Episode 153	Average Score: 20.43
Episode 154	Average Score: 18.40
Episode 155	Average Score: 21.64
Episode 156	Average Score: 20.02
Episode 157	Average Score: 20.47
Episode 158	Average Score: 19.21
Episode 159	Average Score: 17.11
Episode 160	Average Score: 21.11
Episode 161	Average Score: 20.03
Episode 162	Average Score: 23.17
Episode 163	Average Score: 23.44
Episode 164	Average Score: 21.28
Episode 165	Average Score: 20.26
Episode 166	Average Score: 23.56
Episode 167	Average Score: 21.79
Episode 168	Average Score: 21.38
Episode 169	Average Score: 22.50
Episode 170	Average Score: 23.05
Episode 171	Average Score: 22.39
Episode 172	Average Score: 24.43
Episode 173	Average Score: 21.18
Episode 174	Average Score: 21.78
Episode 175	Average Score: 22.88
Episode 176	Average Score: 21.22
Episode 177	Average Score: 21.01
Episode 178	Average Score: 22.43
Episode 179	Average Score: 21.39
Episode 180	Average Score: 22.60
Episode 181	Average Score: 20.13
Episode 182	Average Score: 22.51
Episode 183	Average Score: 22.33
Episode 184	Average Score: 22.83
Episode 185	Average Score: 21.69
Episode 186	Average Score: 23.46
Episode 187	Average Score: 21.22
Episode 188	Average Score: 20.19
Episode 189	Average Score: 23.69
Episode 190	Average Score: 27.24
Episode 191	Average Score: 25.66
Episode 192	Average Score: 28.25
Episode 193	Average Score: 25.84
Episode 194	Average Score: 25.00
Episode 195	Average Score: 24.77
Episode 196	Average Score: 25.41
Episode 197	Average Score: 28.14
Episode 198	Average Score: 25.24
Episode 199	Average Score: 26.81
Episode 200	Average Score: 26.96
Episode 201	Average Score: 29.02
Episode 202	Average Score: 26.56
Episode 203	Average Score: 26.84
Episode 204	Average Score: 24.41
Episode 205	Average Score: 25.43
Episode 206	Average Score: 25.43
Episode 207	Average Score: 23.99
Episode 208	Average Score: 23.35
Episode 209	Average Score: 23.32
Episode 210	Average Score: 25.51
Episode 211	Average Score: 23.67
Episode 212	Average Score: 23.34
Episode 213	Average Score: 24.01
Episode 214	Average Score: 23.74
Episode 215	Average Score: 24.93
Episode 216	Average Score: 21.77
Episode 217	Average Score: 23.85
Episode 218	Average Score: 21.07
Episode 219	Average Score: 19.62
Episode 220	Average Score: 20.84
Episode 221	Average Score: 18.67
Episode 222	Average Score: 23.66
Episode 223	Average Score: 27.65
Episode 224	Average Score: 28.81
Episode 225	Average Score: 23.19
Episode 226	Average Score: 24.77
Episode 227	Average Score: 29.51
Episode 228	Average Score: 30.72

Environment solved in 228 episodes!	Average Score: 30.72
